S. No,Producto,Código,Garantía,Especificações Técnicas
48,MOTOR ELÉCTRICO,BEE30HA-DS60,12 Meses,"
Potencia: 3.0HP / 2,2kW
Voltage: 110 / 220V - 60Hz
Monofásico
2 polos - alta velocidad
Bobinado en cobre
Medio par de arranque "
49,MOTOR ELÉCTRICO,BEE40HA-DS60,12 Meses,"
Potencia: 4.0HP /3,0kW
Voltage: 110 / 220V - 60Hz
Monofásico
2 polos - alta velocidad
Bobinado en cobre
Medio par de arranque "
50,MOTOR ELÉCTRICO,BEE10LA-DS60,12 Meses,"
Potencia: 1.0HP / 0,75kW
Voltage: 110 / 220V - 60Hz
Monofásico
4 polos - baja velocidad
Bobinado en cobre
Medio par de arranque "
51,MOTOR ELÉCTRICO,BEE15LA-DS60,12 Meses,"
Potencia: 1.5HP / 1,1kW
Voltage: 110 / 220V - 60Hz
Monofásico
4 polos - baja velocidad
Bobinado en cobre
Medio par de arranque "
52,MOTOR ELÉCTRICO,BEE20LA-DS60,12 Meses,"
Potencia: 2.0HP / 1,5kW
Voltage: 110 / 220V - 60Hz
Monofásico
4 polos - baja velocidad
Bobinado en cobre
Medio par de arranque "
53,MOTOR ELÉCTRICO,BEE30LA-DS60,12 Meses,"
Potencia: 3.0HP / 2,2kW
Voltage: 110 / 220V - 60Hz
Monofásico
4 polos - baja velocidad
Bobinado en cobre
Medio par de arranque "
54,MOTOR ELÉCTRICO,BEE40LA-DS60,12 Meses,"
Potencia: 4.0HP / 3,0kW
Voltage: 110 / 220V - 60Hz
Monofásico
4 polos - baja velocidad
Bobinado en cobre
Medio par de arranque "
55,MOTOBOMBA GASOLINA,BWP1x1STA,12 Meses,"

Tipo de bomba : Autocebante
Potencia máxima : 1,3 HP, 2 tiempos
Sistema de arranque : Retráctil
Capacidad máxima de bombeo : 8000 litros por hora
Diámetro del succion : 1 Pulgadas
Diámetro del descarga : 1 Pulgadas
Elevación total : 30 Metros
Altura de succión : 8 Metros
Tamaño tanque combustible : 0,95 Litros"
56,MOTOBOMBA GASOLINA,BWP1.5x1.5STA,12 Meses,"

Tipo de bomba : Autocebante
Potencia máxima : 1,7 HP , 2 tiempos
Sistema de arranque : Retráctil
Capacidad máxima de bombeo :12000 litros por hora
Diámetro del succion : 1,5 Pulgadas
Diámetro del descarga : 1,5 Pulgadas
Elevación total : 35 Metros
Altura de succión : 8 Metros
Tamaño tanque combustible : 1,2 Litros"
57,MOTOBOMBA GASOLINA,BWP1.5x1.5SA,12 Meses,"

Tipo de bomba : Autocebante
Potencia máxima : 4,0 HP
Sistema de arranque : Retráctil
Capacidad máxima de bombeo : 15000 litros por hora
Diámetro del succion : 1,5 Pulgadas
Diámetro del descarga : 4,5 Pulgadas
Elevación total : 26 Metros
Altura de succión : 6 Metros
Tamaño tanque combustible : 2,0 Litros"
58,MOTOBOMBA GASOLINA,BWP2x2SA,12 Meses,"

Tipo de bomba : Autocebante
Potencia máxima : 7,0 HP
Sistema de arranque : Retráctil
Capacidad máxima de bombeo : 30000 litros por hora
Diámetro del succion : 2 Pulgadas
Diámetro del descarga : 2 Pulgadas
Elevación total : 30 Metros
Altura de succión : 8 Metros
Tamaño tanque combustible : 3,6 Litros"
